style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,ytAttributedStringHost,style-scope 2,ytCoreImageHost src,style-scope 3,,,,,
https://yt3.ggpht.com/5MutJEF2BQbup_ZDzqF2WM2541CaQlNdQGXDqyFBbdbonwZcWkuCVMUNi2myP-HxY-n4y1PFcQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@van-l2q5p,@van-l2q5p,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxuYBpUCialMcYENN94AaABAg,malu gak sih baru mulai mpl udah makan telor aja sama navi,7,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_mMKkQe4Rz-qUgFymZdx_cEz02nV3AKPMNMO8-q15b_zA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@muhammadibnu8641,@muhammadibnu8641,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugyq15y55NhO4Ep2XVZ4AaABAg,"Kedatangan ynot dampaknya besar dulu gameplay navi grusak grusuk, sekarang tertata rapih dan disiplin.",,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lE-2v4pt1Am5Vt4Pedf4xjFjaVCExlg_cJVl7OY2xcwvV1BhXRzUSHIHLwFa5dONFuTw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@AmaliaHasan-w4l,@AmaliaHasan-w4l,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzPsrgPNoaMOESA3Bl4AaABAg&pp=0gcJCSIANpG00pGi,ingat kata kester 2-0 itu untuk adik yaaa..,3,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_nLOZiVoOnOY9sRG6PEfbeJQZgNEc94Ld_-R0YhapW-QHpFlNNHtQIwpPu8VJKX5wVYKg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Aisyah-e7l2n,@Aisyah-e7l2n,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugyo3kSihzbjwhysqFl4AaABAg,"Week depan kuroki yehez harus maen, gausah nunggu puteran kedua udah keliatan down nya toyy Ama si rinz",1,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_nv8CUIQDdwQReKARt8EO2hJzLBVG6vYlndMtqrPLAbhErysRDW9CwEbhllNhAXVn-3gQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@NingAyu-n8f,@NingAyu-n8f,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxupPGcjmkwz3XAEmt4AaABAg,"Udah ya main super²  nya, dapat telur soalnya.
Memang selama ini yg ngegendong rrq itu cuma sutsujin, dyrennn,sama idok sisanya ya tau sendiri lah",17,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/wYKahjndYQzwdoqFsKS240AuN0YAZXRNz_IzXeQgBrBfvmeVX8DlseD5M8yhSCWOcNrBq9Y5=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@VANVANKICAUBREBES,@VANVANKICAUBREBES,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgxP5LvosoTi3ZF61Vl4AaABAg,Malu maluin toy bicah kocak masih di bawa,2,,,,,,,
https://yt3.ggpht.com/3BaJu6fxYaEG9R7Nlcd8EAiHeqCZVzvLARpNluGAJIur-z3rBD5ut1agyq1aXJ0OrwsoTIe19sc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@DimasSaputra-pf3he,@DimasSaputra-pf3he,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyCs1P8WOarGLn107R4AaABAg,pesona gold Lane lokal first item sky picer,24,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f5ff.png,Terjemahkan ke bahasa Indonesia,,,,,
https://yt3.ggpht.com/ytc/AIdro_kDHN0wYfCsgIoG21ibk_X-Baa7iCg3R9yS6O3kmuRUjM0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@masterpoinggg8369,@masterpoinggg8369,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyK1VMucWLRNiNuqt94AaABAg,Udah itu mid gold nya bener ganti dari pada susah nanjaknya,1,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_loBfzt0hKGLz4TbfcZ88ySGlldA28DqBcmbUJDkf8=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ilhamutama8322,@ilhamutama8322,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyeS91PpPg5k2GiBv54AaABAg,"Udh tau super kenn gagal di btr. Masih dibeli wkwk. Malah downgrade dari sutsujin. 

Nyawit nih si AP",4,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_l2m6xnQIkGIe085t1l3QKu9OLcA7ubGl9YcT6fJ4x_XnEE37zF6vFZuGyS8tIezkPGIA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@RinardziArie-n3b8d,@RinardziArie-n3b8d,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugw21SnQgxmjL263JQh4AaABAg,Tenang kingdom baru match pertama.Tpi semoga evos GG. semangat evos,,,,,,,,
