style-scope src,yt-simple-endpoint href,style-scope,yt-simple-endpoint,yt-simple-endpoint href 2,ytAttributedStringHost,style-scope 2,ytCoreImageHost src,style-scope 3,,,,,
https://yt3.ggpht.com/ytc/AIdro_kFJUTZ1-koNgh_-kSZj_uvvPSLKQZRUX-e46jlloA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@renobgd9790,@renobgd9790,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzCLttbrOsQetWVi054AaABAg,"Super super,,, udahan main super super nya",22,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_n3Yb_iaJ5a2XMpB65uRay66mgTIQqE5KGVH9zjEIM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@densuryo79,@densuryo79,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyIButXfiQR-VNYg894AaABAg,Gokil coach y not langsung bantai raja,27,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lhCSCXUPX7vXuBmw3HfuLY1mCbMlJ7hgrcY60ZkRsF2P4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@reymahda374,@reymahda374,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgwRgVUnDoiciRugGu14AaABAg&pp=0gcJCSIANpG00pGi,Seperti biasa BTR jago di reguler season tapi pas di playoff penyakit turu kambuh nanti,4,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/lcLPOX6-bSupT-UeAcE4ci3CpEsqx6sNNRpOEGh0xS9CpfIGwIQC00GhmKQM8nyXFJUIGtqJCw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Eren1.3mviews,@Eren1.3mviews,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyCHzrP4jGnP1_0Ykt4AaABAg,Ternyata bukan salah coach adinya ..bukan salah coach arcadia nya ..super nya yg dinerff,25,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lSlSVc09a572E19N5eQFRVU9zOfjTMpdIn_GiN9bqWe94=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@sevanamedianugraha8045,@sevanamedianugraha8045,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugz2Y9eh7iE-tLDbVIt4AaABAg,Belum nonton replaynya udah ngakak dulu liat komentarnya,17,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lVX7L3_brWBB5DkvIRN676x0uyAXRd130VTLtMGGdW3SE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@agungkusumahali,@agungkusumahali,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyTifwHcuAJ3vf7m8Z4AaABAg,"Blm nonton udh ngakak duluan liat komen nya, udahan main SUPER""an nya",4,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f602.png,,,,,,
https://yt3.ggpht.com/vInbk8oLrBwUFpkWo95Va3eqsRspdJ-Vy3ynqD2_vC3Rgqg8dNYjtkxMHj8I0C2IhYcHZeWXPw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@exsito9108,@exsito9108,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzPSxG6O57egsynTut4AaABAg,Keluarga super dia pikir bisa Menang ehh ga taunya ........,8,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f923.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_m-wvAwKyNneCMdoErnw329VPrjfATdBmyawkiFTmB0Tmcb0mbPWFH98RzurWL1m0u29A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@MadremFernandes,@MadremFernandes,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgwrOg4s9oWZqsHdoHp4AaABAg&pp=0gcJCSIANpG00pGi,"Rrq kalo roasternya masih ini,,gua yakin bakal gk lolos play off lagi",4,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lnAi1aSQ3f7jevWT_sInu_8xitXqJ2nBJqc1dlm2L-cfg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rmchickenkatsu9798,@rmchickenkatsu9798,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugz5akn4ExMRpCGOKfd4AaABAg,"Navi improve game sama skil RRQ improve nickname doang pake SUPER, kemajuan yang luar biasa",28,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f605.png,,,,,,
https://yt3.ggpht.com/lYt45L_iovlw5I3ooGfj4WIbZK8q8u9Lvw3SmMYrZWGJhzaVhL-qlO8_oO3kRcGtLyFyVvkYrA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@MUCHIRO-b7y,@MUCHIRO-b7y,2 minggu yang lalu (diedit),https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgwrULGeu0v_KO_VPSp4AaABAg,itu siapa yang di tarik dera dah,6,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f923.png,,,,,,
https://yt3.ggpht.com/ytc/AIdro_mLKPfQfsYtfUyqqe6FpMayQRafZoRgOUnqIFjEi-enSreCJmiWcdakwZy3g21qd24UHw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@NaufalFatiha-l4b,@NaufalFatiha-l4b,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=Ugx0wNoVdoF8Zx0xk4N4AaABAg,Ranger emas berat sebelah selalu BTR yang diunggulkan,3,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_mHe11SqVVRV8PRtWf6yVpQz2ReLP-aksO0_qRA8gxWVok=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@andrijamaludin6321,@andrijamaludin6321,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgzYtn7Ges9k77JPvzR4AaABAg,Pertahankan si toy gold paling menakutkan.,2,,,,,,,
https://yt3.ggpht.com/zOjojmcHRYN7-h9PjEhAPguB9xXarFlu2cC_O__CSFDtD4F_qLsDByQuDoLVHHZzVJR8cTS8=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rahayuoktaviani1315,@rahayuoktaviani1315,2 minggu yang lalu,https://www.youtube.com/watch?v=UEMXK7wqDDQ&lc=UgyOY2PLLbsLt0FNJ8x4AaABAg&pp=0gcJCSIANpG00pGi,pH memang tabrak2 masuknya manteb bgt,11,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png,,,,,,
